Date,Open,High,Low,Close,Adj Close,Volume
1996-12-23,17.790001,17.790001,17.790001,17.790001,11.702467,0
1996-12-24,17.870001,17.870001,17.870001,17.870001,11.755093,0
1996-12-26,17.980000,17.980000,17.980000,17.980000,11.827443,0
1996-12-27,18.010000,18.010000,18.010000,18.010000,11.847180,0
1996-12-30,17.969999,17.969999,17.969999,17.969999,11.820865,0
1996-12-31,17.770000,17.770000,17.770000,17.770000,11.689302,0
1997-01-02,17.650000,17.650000,17.650000,17.650000,11.610367,0
1997-01-03,17.900000,17.900000,17.900000,17.900000,11.774822,0
1997-01-06,17.910000,17.910000,17.910000,17.910000,11.781398,0
1997-01-07,18.040001,18.040001,18.040001,18.040001,11.866917,0
1997-01-08,17.959999,17.959999,17.959999,17.959999,11.814292,0
1997-01-09,18.090000,18.090000,18.090000,18.090000,11.899808,0
1997-01-10,18.190001,18.190001,18.190001,18.190001,11.965594,0
1997-01-13,18.190001,18.190001,18.190001,18.190001,11.965594,0
1997-01-14,18.389999,18.389999,18.389999,18.389999,12.097150,0
1997-01-15,18.350000,18.350000,18.350000,18.350000,12.070830,0
1997-01-16,18.410000,18.410000,18.410000,18.410000,12.110306,0
1997-01-17,18.549999,18.549999,18.549999,18.549999,12.202397,0
1997-01-20,18.590000,18.590000,18.590000,18.590000,12.228707,0
1997-01-21,18.700001,18.700001,18.700001,18.700001,12.301074,0
1997-01-22,18.780001,18.780001,18.780001,18.780001,12.353692,0
1997-01-23,18.629999,18.629999,18.629999,18.629999,12.255024,0
1997-01-24,18.450001,18.450001,18.450001,18.450001,12.136619,0
1997-01-27,18.320000,18.320000,18.320000,18.320000,12.051106,0
1997-01-28,18.330000,18.330000,18.330000,18.330000,12.057680,0
1997-01-29,18.459999,18.459999,18.459999,18.459999,12.143191,0
1997-01-30,18.680000,18.680000,18.680000,18.680000,12.287914,0
1997-01-31,18.740000,18.740000,18.740000,18.740000,12.327378,0
1997-02-03,18.750000,18.750000,18.750000,18.750000,12.333963,0
1997-02-04,18.770000,18.770000,18.770000,18.770000,12.347117,0
1997-02-05,18.530001,18.530001,18.530001,18.530001,12.189241,0
1997-02-06,18.580000,18.580000,18.580000,18.580000,12.222130,0
1997-02-07,18.770000,18.770000,18.770000,18.770000,12.347117,0
1997-02-10,18.660000,18.660000,18.660000,18.660000,12.274760,0
1997-02-11,18.709999,18.709999,18.709999,18.709999,12.307652,0
1997-02-12,19.000000,19.000000,19.000000,19.000000,12.498416,0
1997-02-13,19.200001,19.200001,19.200001,19.200001,12.629977,0
1997-02-14,19.150000,19.150000,19.150000,19.150000,12.597081,0
1997-02-18,19.290001,19.290001,19.290001,19.290001,12.689183,0
1997-02-19,19.240000,19.240000,19.240000,19.240000,12.656289,0
1997-02-20,19.020000,19.020000,19.020000,19.020000,12.511574,0
1997-02-21,18.980000,18.980000,18.980000,18.980000,12.485261,0
1997-02-24,19.129999,19.129999,19.129999,19.129999,12.583928,0
1997-02-25,19.190001,19.190001,19.190001,19.190001,12.623395,0
1997-02-26,19.049999,19.049999,19.049999,19.049999,12.531301,0
1997-02-27,18.830000,18.830000,18.830000,18.830000,12.386587,0
1997-02-28,18.719999,18.719999,18.719999,18.719999,12.314223,0
